timestamp,model,dataset,notes,Return_MAE,Return_MSE,Return_RMSE,num_drifts_detected,total_retrain_time,average_retrain_time,model_switches,trial_verdicts,trials_promoted,trials_held,final_model,num_retrains,detect_true_positives,detect_false_positives,detect_false_negatives,detect_precision,detect_recall,detect_f1_score,detect_avg_detection_delay,total_time
2026-03-16 19:44:41,ELM_kswin,linear_gradual_drift_1,,0.0427553657313945,0.0050127925101503,0.0708010770408919,37,0.0408823490142822,0.0011049283517373,30,"['held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",30,7,v37,37,6,31,1,0.1621621621621621,0.8571428571428571,0.2727272727272727,3.8333333333333335,1.191136598587036
2026-03-16 19:44:43,ELM_kswin,linear_gradual_drift_2,,0.0610689157001965,0.0178851721307818,0.1337354557728871,35,0.0468719005584716,0.0013391971588134,29,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",29,5,v34,35,7,28,0,0.2,1.0,0.3333333333333333,-27.0,1.5734763145446775
2026-03-16 19:44:45,ELM_kswin,linear_gradual_drift_3,,0.0795180334549681,0.0746146440377066,0.2731568121751801,34,0.0196928977966308,0.0005792028763714,28,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",28,6,v34,34,7,27,0,0.2058823529411764,1.0,0.3414634146341463,-57.142857142857146,1.6342835426330566
2026-03-16 19:44:47,ELM_kswin,linear_gradual_drift_4,,0.0407557162860085,0.0067366795321216,0.082077277806477,31,0.0222704410552978,0.0007184013243644,26,"['promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted']",26,5,v31,31,7,24,0,0.2258064516129032,1.0,0.3684210526315789,24.857142857142858,2.059355497360229
2026-03-16 19:44:49,ELM_kswin,linear_gradual_drift_5,,0.055991705837497,0.022431806617103,0.1497725162274542,27,0.0258293151855468,0.0009566413031684,22,"['promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held']",22,5,v26,27,5,22,2,0.1851851851851851,0.7142857142857143,0.2941176470588235,-43.4,2.393714189529419
2026-03-16 19:44:51,ELM_kswin,linear_gradual_drift_6,,0.0482192087126706,0.0187676030009888,0.1369949013685868,31,0.0233294963836669,0.0007525643994731,23,"['held', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted']",23,8,v31,31,6,25,1,0.1935483870967742,0.8571428571428571,0.3157894736842105,33.833333333333336,1.89367151260376
2026-03-16 19:44:53,ELM_kswin,linear_gradual_drift_7,,0.0459743399670649,0.0072065559582139,0.0848914363066965,31,0.0662355422973632,0.0021366303966891,23,"['held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held']",23,8,v30,31,7,24,0,0.2258064516129032,1.0,0.3684210526315789,43.85714285714285,1.8146119117736816
2026-03-16 19:44:55,ELM_kswin,linear_gradual_drift_8,,0.0704696366540242,0.0750335045962531,0.2739224426662648,30,0.0248138904571533,0.0008271296819051,25,"['promoted', 'held', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'held']",25,5,v26,30,6,24,1,0.2,0.8571428571428571,0.3243243243243243,53.833333333333336,2.11100697517395
2026-03-16 19:44:57,ELM_kswin,linear_gradual_drift_9,,0.05244477824779,0.0188418627457329,0.1372656648464318,30,0.0211007595062255,0.0007033586502075,26,"['promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",26,4,v30,30,7,23,0,0.2333333333333333,1.0,0.3783783783783783,17.0,2.096887588500977
2026-03-16 19:44:59,ELM_kswin,linear_gradual_drift_10,,0.1066655759365455,0.2360616346639876,0.4858617443923607,33,0.0629739761352539,0.0019083023071289,28,"['held', 'held', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted']",28,5,v30,33,7,26,0,0.2121212121212121,1.0,0.35,-3.571428571428572,1.667915105819702
2026-03-16 19:45:00,ELM_kswin,linear_gradual_drift_11,,0.0582077450320719,0.0211365177560731,0.1453840354236774,36,0.047231912612915,0.0013119975725809,31,"['promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted', 'promoted', 'held', 'promoted', 'promoted', 'promoted', 'promoted']",31,5,v35,36,7,29,0,0.1944444444444444,1.0,0.3255813953488372,4.0,1.3310041427612305
